ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,labels,x,y,z
244,R,60.859,36.6 -10 12.4,Auditory,R_Auditory,36.6,-10,12.4
104,L,235.3478,-50.6 -22.4 19.2,Auditory,L_Auditory,-50.6,-22.4,19.2
102,L,84.3721,-52.2 -14.1 15.2,Auditory,L_Auditory,-52.2,-14.1,15.2
227,R,350.4678,53.8 -15.8 5.2,Auditory,R_Auditory,53.8,-15.8,5.2
64,L,69.8136,-46.3 -41.4 25.9,Auditory,L_Auditory,-46.3,-41.4,25.9
65,L,57.6828,-35.8 -33.5 19.9,Auditory,L_Auditory,-35.8,-33.5,19.9
66,L,318.1656,-52.7 -20.6 5.4,Auditory,L_Auditory,-52.7,-20.6,5.4
67,L,133.6981,-59.6 -38.5 16.5,Auditory,L_Auditory,-59.6,-38.5,16.5
68,L,184.7656,-58.7 -29.9 11.1,Auditory,L_Auditory,-58.7,-29.9,11.1
69,L,87.5338,-40.6 -38.3 14.5,Auditory,L_Auditory,-40.6,-38.3,14.5
70,L,77.923,-33.7 -21.8 9.9,Auditory,L_Auditory,-33.7,-21.8,9.9
230,R,116.8923,59.2 -38.6 14.6,Auditory,R_Auditory,59.2,-38.6,14.6
77,L,177.8053,-37.2 -14 19.4,Auditory,L_Auditory,-37.2,-14,19.4
232,R,98.1676,61.7 -24 1.3,Auditory,R_Auditory,61.7,-24,1.3
233,R,238.2135,60 -25.2 10.2,Auditory,R_Auditory,60,-25.2,10.2
239,R,112.8737,38.4 -12.2 20,Auditory,R_Auditory,38.4,-12.2,20
224,R,178.7904,36.4 -30.7 19.4,Auditory,R_Auditory,36.4,-30.7,19.4
268,R,130.8316,60.9 -2.2 10.7,Auditory,R_Auditory,60.9,-2.2,10.7
269,R,158.6212,54.2 -13.6 16.9,Auditory,R_Auditory,54.2,-13.6,16.9
171,R,168.9272,33.6 -22.3 13,Auditory,R_Auditory,33.6,-22.3,13
330,R,415.3981,55.8 2 -2,Auditory,R_Auditory,55.8,2,-2
329,R,15.9589,39.7 -22.5 2.6,Auditory,R_Auditory,39.7,-22.5,2.6
160,L,387.7637,-56.5,Auditory,L_Auditory,-54.4,-1.4,-0.7
10,L,179.8312,-32 -29.3 15.6,Auditory,L_Auditory,-32,-29.3,15.6
112,L,375.4921,-48.6 7.5 11.1,CinguloOperc,L_CinguloOperc,-48.6,7.5,11.1
111,L,190.3067,-51.8 -0.6 5,CinguloOperc,L_CinguloOperc,-51.8,-0.6,5
318,R,300.2814,31.3 39.7 25.6,CinguloOperc,R_CinguloOperc,31.3,39.7,25.6
103,L,219.1806,-55.1 -32.3 23,CinguloOperc,L_CinguloOperc,-55.1,-32.3,23
101,L,130.0901,-59.8 -4.1 8.8,CinguloOperc,L_CinguloOperc,-59.8,-4.1,8.8
249,R,317.1816,34 24.4 10,CinguloOperc,R_CinguloOperc,34,24.4,10
248,R,87.5638,33.7 22.6 3.7,CinguloOperc,R_CinguloOperc,33.7,22.6,3.7
63,L,400.9798,-57.7 -40.6 35.8,CinguloOperc,L_CinguloOperc,-57.7,-40.6,35.8
147,L,55.3071,-26.6 46.8 20.9,CinguloOperc,L_CinguloOperc,-26.6,46.8,20.9
317,R,119.2545,24.4 50.8 24.3,CinguloOperc,R_CinguloOperc,24.4,50.8,24.3
72,L,314.4165,-52.9,CinguloOperc,L_CinguloOperc,-39.1,-1.6,-12.2
246,R,134.1318,36.5 5.7 6,CinguloOperc,R_CinguloOperc,36.5,5.7,6
245,R,160.3669,39.6 10.4 -1.6,CinguloOperc,R_CinguloOperc,39.6,10.4,-1.6
76,L,405.8736,-37.7 2.9 11.7,CinguloOperc,L_CinguloOperc,-37.7,2.9,11.7
153,L,162.4348,-28.8 38.3 28.2,CinguloOperc,L_CinguloOperc,-28.8,38.3,28.2
81,L,114.4808,-36.6 1.4 6.4,CinguloOperc,L_CinguloOperc,-36.6,1.4,6.4
82,L,96.9825,-37.3 8.9 -0.9,CinguloOperc,L_CinguloOperc,-37.3,8.9,-0.9
238,R,206.3929,36.7 5.2 12.7,CinguloOperc,R_CinguloOperc,36.7,5.2,12.7
84,L,420.8512,-28.8 23.7 8.4,CinguloOperc,L_CinguloOperc,-28.8,23.7,8.4
